date,open,high,low,close,volume
8/14/86,0.1114,0.1153,0.1114,0.1114,4160000
8/15/86,0.1114,0.1114,0.1094,0.1094,4332800
8/18/86,0.1094,0.1094,0.1055,0.1055,2828800
8/19/86,0.1073,0.1094,0.1073,0.1073,2060800
8/20/86,0.1073,0.1133,0.1073,0.1073,684800
8/21/86,0.1114,0.1172,0.1114,0.1114,883200
8/22/86,0.1114,0.1153,0.1114,0.1114,1734400
8/25/86,0.1114,0.1114,0.1073,0.1073,627200
8/26/86,0.1073,0.1114,0.1073,0.1073,793600
8/27/86,0.1073,0.1094,0.1073,0.1073,2540800
8/28/86,0.1073,0.1094,0.1025,0.1025,1555200
8/29/86,0.1025,0.1094,0.1025,0.1025,1548800
9/2/86,0.1114,0.1153,0.1114,0.1114,1068800
9/3/86,0.1114,0.1172,0.1114,0.1114,403200
9/4/86,0.125,0.1289,0.125,0.125,1804800
9/5/86,0.125,0.1289,0.123,0.123,2137600
9/8/86,0.123,0.127,0.1211,0.1211,492800
9/9/86,0.125,0.1309,0.125,0.125,499200
9/10/86,0.1309,0.1367,0.1309,0.1309,934400
9/11/86,0.1211,0.1211,0.1153,0.1153,1798400
9/12/86,0.1172,0.1211,0.1172,0.1172,1286400
9/15/86,0.1289,0.1338,0.1289,0.1289,998400
9/16/86,0.1338,0.1406,0.1338,0.1338,1254400
9/17/86,0.1445,0.1484,0.1445,0.1445,1356800
9/18/86,0.1445,0.1494,0.1445,0.1445,352000
9/19/86,0.1445,0.1494,0.1445,0.1445,1024000
9/22/86,0.1445,0.1445,0.1386,0.1386,780800
9/23/86,0.1386,0.1406,0.1338,0.1338,1798400
9/24/86,0.1367,0.1427,0.1367,0.1367,1312000
9/25/86,0.1367,0.1406,0.1328,0.1328,1657600
9/26/86,0.1328,0.1386,0.1328,0.1328,768000
9/29/86,0.1338,0.1386,0.1338,0.1338,473600
9/30/86,0.1338,0.1427,0.1338,0.1338,192000
10/1/86,0.1338,0.1427,0.1338,0.1338,371200
10/2/86,0.1338,0.1427,0.1338,0.1338,224000
10/3/86,0.1338,0.1406,0.1338,0.1338,44800
10/6/86,0.1367,0.1427,0.1367,0.1367,128000
10/7/86,0.1367,0.1427,0.1367,0.1367,198400
10/8/86,0.1367,0.1427,0.1367,0.1367,204800
10/9/86,0.1367,0.1427,0.1367,0.1367,793600
10/10/86,0.1367,0.1427,0.1367,0.1367,224000
10/13/86,0.1386,0.1427,0.1386,0.1386,454400
10/14/86,0.1386,0.1445,0.1386,0.1386,480000
10/15/86,0.1386,0.1445,0.1386,0.1386,352000
10/16/86,0.1386,0.1386,0.1386,0.1386,0
10/17/86,0.1386,0.1445,0.1386,0.1386,83200
10/20/86,0.1386,0.1445,0.1386,0.1386,44800
10/21/86,0.1427,0.1466,0.1427,0.1427,326400
10/22/86,0.1445,0.1484,0.1445,0.1445,1100800
10/23/86,0.1466,0.1494,0.1466,0.1466,742400
10/24/86,0.1583,0.1622,0.1583,0.1583,1651200
10/27/86,0.1602,0.1641,0.1602,0.1602,729600
10/28/86,0.1602,0.1641,0.1602,0.1602,1804800
10/29/86,0.1758,0.1797,0.1758,0.1758,11667200
10/30/86,0.1855,0.1875,0.1855,0.1855,2150400
10/31/86,0.1855,0.1855,0.1816,0.1816,1990400
11/3/86,0.1806,0.1806,0.1758,0.1758,1388800
11/4/86,0.1758,0.1758,0.1719,0.1719,2003200
11/5/86,0.1719,0.1758,0.1698,0.1698,1094400
11/6/86,0.1739,0.1778,0.1739,0.1739,2329600
11/7/86,0.1758,0.1806,0.1758,0.1758,1094400
11/10/86,0.1797,0.1836,0.1797,0.1797,2528000
11/11/86,0.1797,0.1806,0.1797,0.1797,876800
11/12/86,0.1797,0.1836,0.1797,0.1797,441600
11/13/86,0.1797,0.1806,0.1778,0.1778,550400
11/14/86,0.1797,0.1836,0.1797,0.1797,448000
11/17/86,0.1797,0.1806,0.1778,0.1778,684800
11/18/86,0.1778,0.1797,0.1739,0.1739,1062400
11/19/86,0.1739,0.1778,0.1739,0.1739,364800
11/20/86,0.1739,0.1778,0.1739,0.1739,454400
11/21/86,0.1739,0.1778,0.1739,0.1739,89600
11/24/86,0.1739,0.1778,0.1739,0.1739,256000
11/25/86,0.1739,0.1778,0.1739,0.1739,518400
11/26/86,0.1845,0.1875,0.1845,0.1845,1664000
11/28/86,0.1914,0.1953,0.1914,0.1914,518400
12/1/86,0.1914,0.1953,0.1895,0.1895,684800
12/2/86,0.1934,0.1963,0.1934,0.1934,908800
12/3/86,0.1934,0.1953,0.1914,0.1914,422400
12/4/86,0.1934,0.1963,0.1934,0.1934,1484800
12/5/86,0.1963,0.2011,0.1963,0.1963,1632000
12/8/86,0.207,0.2109,0.207,0.207,2720000
12/9/86,0.2031,0.2031,0.1992,0.1992,4563200
12/10/86,0.1992,0.2031,0.1992,0.1992,3193600
12/11/86,0.1875,0.1875,0.1855,0.1855,7334400
12/12/86,0.1875,0.1934,0.1875,0.1875,492800
12/15/86,0.1875,0.1914,0.1855,0.1855,281600
12/16/86,0.1855,0.1855,0.1836,0.1836,4204800
12/17/86,0.1836,0.1836,0.1806,0.1806,3116800
12/18/86,0.1836,0.1855,0.1836,0.1836,966400
12/19/86,0.1836,0.1875,0.1836,0.1836,620800
12/22/86,0.1836,0.1895,0.1836,0.1836,1798400
12/23/86,0.1914,0.1953,0.1914,0.1914,3718400
12/24/86,0.1963,0.2011,0.1963,0.1963,1536000
12/26/86,0.1992,0.2031,0.1992,0.1992,64000
12/29/86,0.1963,0.1963,0.1934,0.1934,2348800
12/30/86,0.1953,0.1992,0.1953,0.1953,544000
12/31/86,0.1992,0.2052,0.1992,0.1992,3520000
1/2/87,0.2031,0.207,0.2031,0.2031,665600
1/5/87,0.2091,0.2119,0.2091,0.2091,742400
1/6/87,0.2109,0.2167,0.2109,0.2109,3104000
1/7/87,0.2119,0.2167,0.2119,0.2119,2368000
1/8/87,0.2208,0.2227,0.2208,0.2208,2035200
1/9/87,0.2208,0.2266,0.2208,0.2208,1913600
1/12/87,0.2305,0.2344,0.2305,0.2305,3257600
1/13/87,0.2344,0.2383,0.2344,0.2344,2272000
1/14/87,0.2403,0.2422,0.2403,0.2403,2547200
1/15/87,0.2422,0.2461,0.2422,0.2422,4601600
1/16/87,0.2431,0.248,0.2431,0.2431,5056000
1/19/87,0.2539,0.2578,0.2539,0.2539,7520000
1/20/87,0.2716,0.2773,0.2716,0.2716,7116800
1/21/87,0.2716,0.2744,0.2695,0.2695,2003200
1/22/87,0.2695,0.2734,0.2656,0.2656,2419200
1/23/87,0.2852,0.2891,0.2852,0.2852,5996800
1/26/87,0.2833,0.2833,0.2773,0.2773,3968000
1/27/87,0.2813,0.2852,0.2813,0.2813,1504000
1/28/87,0.2813,0.2852,0.2813,0.2813,537600
1/29/87,0.2744,0.2744,0.2695,0.2695,1036800
1/30/87,0.2695,0.2695,0.2656,0.2656,1440000
2/2/87,0.2695,0.2716,0.2695,0.2695,1280000
2/3/87,0.2695,0.2813,0.2695,0.2773,8358400
2/4/87,0.2773,0.2813,0.2773,0.2813,4492800
2/5/87,0.2813,0.2891,0.2792,0.2891,4064000
2/6/87,0.2891,0.2891,0.2852,0.2891,2355200
2/9/87,0.2891,0.2948,0.2891,0.2891,2316800
2/10/87,0.29,0.2969,0.29,0.293,2560000
2/11/87,0.293,0.3164,0.29,0.3164,4825600
2/12/87,0.3184,0.3341,0.3184,0.3341,3750400
2/13/87,0.3341,0.3497,0.3281,0.3497,2406400
2/17/87,0.3497,0.3573,0.3477,0.3555,2086400
2/18/87,0.3555,0.3653,0.3516,0.3594,2284800
2/19/87,0.3594,0.3653,0.3359,0.3458,3436800
2/20/87,0.3438,0.3438,0.3086,0.3145,9414400
2/23/87,0.3145,0.332,0.3125,0.3242,7590400
2/24/87,0.3302,0.3477,0.3302,0.3438,4128000
2/25/87,0.3438,0.3555,0.3438,0.3477,3987200
2/26/87,0.3477,0.3525,0.3477,0.3477,1881600
2/27/87,0.3477,0.3555,0.3477,0.3555,352000
3/2/87,0.3555,0.3573,0.3497,0.3573,3379200
3/3/87,0.3573,0.3984,0.3555,0.3984,19110400
3/4/87,0.4141,0.4395,0.4141,0.4297,10380800
3/5/87,0.4297,0.4552,0.4258,0.4336,9196800
3/6/87,0.4336,0.4414,0.4278,0.4297,915200
3/9/87,0.4297,0.4414,0.4297,0.4414,2707200
3/10/87,0.4414,0.4453,0.4297,0.4453,2009600
3/11/87,0.4453,0.4648,0.4375,0.4619,18003200
3/12/87,0.4619,0.4883,0.4609,0.4805,13001600
3/13/87,0.4805,0.5234,0.4375,0.5234,12985600
3/16/87,0.5234,0.5508,0.5195,0.5469,10867200
3/17/87,1.0938,1.1094,0.9844,1.0469,6216000
3/18/87,1.0469,1.0625,1,1.0041,15830400
3/19/87,1.0078,1.0313,1.0078,1.0156,9203200
3/20/87,1.0156,1.0313,0.9688,0.9766,3155200
3/23/87,0.9766,1.0156,0.8828,0.8906,4195200
3/24/87,0.8906,0.9375,0.8906,0.9219,6064000
3/25/87,0.9219,0.9688,0.9141,0.9375,3779200
3/26/87,0.9609,1.0156,0.9609,1,4828800
3/27/87,1,1.0469,0.9922,1.0313,3683200
3/30/87,1.0313,1.0313,0.9531,0.9844,4614400
3/31/87,1,1.1016,1,1.0781,6038400
4/1/87,1.0781,1.1797,1,1.125,7161600
4/2/87,1.1719,1.2813,1.1719,1.25,12108800
4/3/87,1.25,1.2891,1.2344,1.2344,14505600
4/6/87,1.25,1.3281,1.25,1.3047,9660800
4/7/87,1.3125,1.3672,1.3125,1.3203,6822400
4/8/87,1.3203,1.3438,1.2969,1.3203,2486400
4/9/87,1.3203,1.3359,1.2344,1.2578,3577600
4/10/87,1.2578,1.2656,1.2266,1.2344,3724800
4/13/87,1.2344,1.25,1.1875,1.2188,1363200
4/14/87,1.1916,1.1916,1.1094,1.125,5552000
4/15/87,1.125,1.1563,1.0859,1.1563,4128000
4/16/87,1.1641,1.3438,1.1641,1.2656,7075200
4/20/87,1.2656,1.2813,1.2031,1.2031,1107200
4/21/87,1.2031,1.2656,1.2031,1.2656,1648000
4/22/87,1.2656,1.3125,1.2656,1.3125,2880000
4/23/87,1.3125,1.3125,1.2969,1.2969,1024000
4/24/87,1.2969,1.3125,1.2656,1.2969,748800
4/27/87,1.2969,1.3125,1.2656,1.2969,3913600
4/28/87,1.2969,1.4531,1.2969,1.4297,13129600
4/29/87,1.4531,1.5469,1.4531,1.5156,4294400
4/30/87,1.5156,1.5625,1.5078,1.5156,7305600
5/1/87,1.5156,1.5313,1.5,1.5234,5907200
5/4/87,1.5234,1.5313,1.5,1.5119,1094400
5/5/87,1.5119,1.6875,1.5,1.6875,5740800
5/6/87,1.6875,1.75,1.6641,1.6641,3500800
5/7/87,1.6641,1.7031,1.6641,1.6875,2294400
5/8/87,1.6875,1.7188,1.6719,1.6875,1081600
5/11/87,1.6875,1.7188,1.6406,1.6484,2195200
5/12/87,1.6484,1.6719,1.6016,1.6094,2736000
5/13/87,1.625,1.6797,1.625,1.6406,2979200
5/14/87,1.6484,1.6719,1.6484,1.6563,1376000
