date,open,high,low,close,volume
5/29/86,6.8438,6.9063,6.8438,6.8913,15736000
5/30/86,6.86,6.9375,6.86,6.9375,6500800
6/2/86,6.9063,6.9225,6.8438,6.875,314400
6/3/86,6.86,6.9375,6.8438,6.9225,154400
6/4/86,6.875,6.9375,6.8288,6.8288,192000
6/5/86,6.7975,6.875,6.7813,6.875,84000
6/6/86,6.9063,6.9225,6.8438,6.875,367200
6/9/86,6.8913,6.9063,6.7188,6.735,497600
6/10/86,6.7663,6.7663,6.6875,6.735,141600
6/11/86,6.735,6.735,6.6563,6.7038,318400
6/12/86,6.6875,6.6875,6.4688,6.5475,348800
6/13/86,6.5938,6.7663,6.5938,6.735,602400
6/16/86,6.735,6.7663,6.7038,6.75,590400
6/17/86,6.7188,6.8288,6.7188,6.7975,294400
6/18/86,6.8438,6.8438,6.75,6.8438,104000
6/19/86,6.8125,6.8288,6.75,6.8125,386400
6/20/86,6.7813,6.8438,6.7188,6.8438,540000
6/23/86,6.8125,6.8125,6.6875,6.6875,146400
6/24/86,6.7038,6.7038,6.625,6.6563,244800
6/25/86,6.625,6.7975,6.625,6.7813,669600
6/26/86,6.8125,6.8288,6.6563,6.75,142400
6/27/86,6.7813,6.7813,6.6413,6.75,508800
6/30/86,6.7663,6.7813,6.75,6.75,91200
7/1/86,6.7813,6.8438,6.75,6.8438,566400
7/2/86,6.7975,6.7975,6.6563,6.6875,1055200
7/3/86,6.6725,6.6725,6.61,6.6563,341600
7/7/86,6.6725,6.6725,6.4375,6.485,336000
7/8/86,6.4688,6.4688,6.25,6.375,1145600
7/9/86,6.4063,6.4063,6.2975,6.375,460000
7/10/86,6.4063,6.4538,6.25,6.4375,258400
7/11/86,6.4688,6.485,6.4225,6.485,210400
7/14/86,6.4688,6.4688,6.3125,6.3288,216800
7/15/86,6.36,6.36,6.0313,6.0788,804800
7/16/86,6.0938,6.1563,6.0625,6.1563,378400
7/17/86,6.1875,6.235,6.1413,6.1413,158400
7/18/86,6.11,6.125,6,6.0938,346400
7/21/86,6.0625,6.0625,5.985,6.0163,312800
7/22/86,6.0313,6.125,6,6.11,693600
7/23/86,6.0788,6.1413,6.0313,6.0475,508800
7/24/86,6.0163,6.0163,5.8438,5.9063,1747200
7/25/86,5.8438,5.9375,5.8438,5.9225,2258400
7/28/86,5.9225,5.9375,5.7975,5.86,748800
7/29/86,5.8125,5.8438,5.7188,5.8438,981600
7/30/86,5.875,6.0313,5.8125,6.0313,264000
7/31/86,6,6,5.9225,5.9538,1360000
8/1/86,5.9375,5.9688,5.8438,5.875,2578400
8/4/86,5.875,6.0475,5.8288,6.0163,543200
8/5/86,6.0788,6.125,6.0475,6.125,521600
8/6/86,6.1563,6.1875,6.125,6.1725,1025600
8/7/86,6.1413,6.1725,6.11,6.11,1778400
8/8/86,6.11,6.1725,6.11,6.1413,1547200
8/11/86,6.125,6.2188,6.125,6.2038,456800
8/12/86,6.2188,6.2188,6.1725,6.2038,629600
8/13/86,6.1875,6.2813,6.1875,6.2813,1331200
8/14/86,6.25,6.3288,6.25,6.2813,1867200
8/15/86,6.2813,6.36,6.2813,6.3125,1726400
8/18/86,6.2975,6.3125,6.2663,6.2813,168000
8/19/86,6.2663,6.3125,6.25,6.3125,189600
8/20/86,6.2813,6.3125,6.2663,6.2813,172000
8/21/86,6.2663,6.3125,6.235,6.235,460800
8/22/86,6.2038,6.2975,6.1875,6.2813,360000
8/25/86,6.2813,6.2813,6.235,6.235,92000
8/26/86,6.2663,6.3288,6.25,6.3288,399200
8/27/86,6.3125,6.375,6.2813,6.3438,12080000
8/28/86,6.36,6.4063,6.3125,6.3913,10240000
8/29/86,6.375,6.4063,6.3125,6.375,200800
9/2/86,6.3438,6.36,6.235,6.2663,584000
9/3/86,6.235,6.2975,6.235,6.2975,544000
9/4/86,6.2975,6.375,6.25,6.375,726400
9/5/86,6.3125,6.3288,6.235,6.2663,524800
9/8/86,6.25,6.2663,6.2188,6.25,800800
9/9/86,6.2188,6.235,6.1563,6.1725,412800
9/10/86,6.1563,6.1563,6.0625,6.125,1096000
9/11/86,6.11,6.11,5.75,5.7813,853600
9/12/86,5.7813,5.7813,5.4375,5.4375,860000
9/15/86,5.5,5.5,5.25,5.4375,637600
9/16/86,5.4375,5.4375,5.2663,5.4063,768800
9/17/86,5.4375,5.4688,5.36,5.4375,588800
9/18/86,5.4688,5.4688,5.2813,5.3438,593600
9/19/86,5.375,5.4063,5.3125,5.4063,530400
9/22/86,5.4375,5.4688,5.3913,5.4688,247200
9/23/86,5.5,5.5163,5.375,5.5163,1021600
9/24/86,5.5625,5.8125,5.5163,5.8125,673600
9/25/86,5.8125,5.8438,5.625,5.75,786400
9/26/86,5.7188,5.7813,5.6563,5.7188,816800
9/29/86,5.625,5.6413,5.5163,5.6413,316800
9/30/86,5.5788,5.6563,5.4688,5.6563,538400
10/1/86,5.6563,5.7663,5.6563,5.6875,216800
10/2/86,5.6875,5.6875,5.5,5.5475,246400
10/3/86,5.5625,5.7188,5.5625,5.7038,784800
10/6/86,5.6875,5.75,5.6875,5.735,176800
10/7/86,5.735,5.75,5.7038,5.75,288000
10/8/86,5.75,5.75,5.7038,5.735,98400
10/9/86,5.735,5.7813,5.7188,5.7663,180800
10/10/86,5.75,5.7813,5.75,5.7663,84000
10/13/86,5.7813,5.7975,5.75,5.7813,36000
10/14/86,5.7975,5.8125,5.6725,5.6725,148000
10/15/86,5.6875,5.735,5.5788,5.735,404000
10/16/86,5.75,5.7813,5.7188,5.7663,176000
10/17/86,5.735,5.735,5.6563,5.7038,102400
10/20/86,5.6875,5.6875,5.5313,5.5788,87200
10/21/86,5.61,5.6563,5.5475,5.5938,153600
10/22/86,5.5625,5.625,5.5163,5.5313,240800
10/23/86,5.5625,5.625,5.5163,5.61,405600
10/24/86,5.5938,5.5938,5.4688,5.5475,260800
10/27/86,5.5788,5.625,5.485,5.5625,249600
10/28/86,5.5938,5.625,5.5,5.5475,183200
10/29/86,5.485,5.5163,5.4225,5.5,212800
10/30/86,5.5,5.5313,5.4538,5.5313,196000
10/31/86,5.5,5.5313,5.485,5.5313,188000
11/3/86,5.5,5.5475,5.5,5.5163,151200
11/4/86,5.5,5.5313,5.4688,5.5313,352000
11/5/86,5.5313,5.5788,5.5,5.5788,1450400
11/6/86,5.5938,5.61,5.5313,5.5625,1473600
11/7/86,5.5938,5.61,5.5938,5.61,63200
11/10/86,5.5938,5.5938,5.5625,5.5788,83200
11/11/86,5.5625,5.5788,5.485,5.5788,124800
11/12/86,5.5938,5.61,5.5163,5.5788,1360000
11/13/86,5.5788,5.5788,5.4225,5.485,1714400
11/14/86,5.5163,5.5163,5.3913,5.4538,132000
11/17/86,5.5,5.5313,5.4688,5.5,165600
11/18/86,5.5,5.5,5.125,5.125,744000
11/19/86,5.1563,5.2663,5.125,5.25,2100800
11/20/86,5.3125,5.375,5.2038,5.3288,2039200
11/21/86,5.375,5.405,5.28,5.375,301800
11/24/86,5.3125,5.375,5.25,5.375,468400
11/25/86,5.375,5.405,5.1875,5.28,1066800
11/26/86,5.3425,5.405,5.3125,5.405,296800
11/28/86,5.3425,5.4375,5.25,5.4375,322800
12/1/86,5.5,5.5,5.25,5.5,362400
12/2/86,5.5,5.75,5.5,5.625,1000800
12/3/86,5.625,5.7175,5.5,5.655,681600
12/4/86,5.655,5.75,5.5625,5.7175,667600
12/5/86,5.5925,5.655,5.5,5.625,371600
12/8/86,5.625,5.6875,5.4375,5.6875,681200
12/9/86,5.625,5.6875,5.5625,5.625,363600
12/10/86,5.625,5.655,5.53,5.5925,632800
12/11/86,5.655,5.6875,5.5,5.655,601600
12/12/86,5.655,5.6875,5.5625,5.655,271600
12/15/86,5.5925,5.875,5.4675,5.875,1480800
12/16/86,5.8125,5.9675,5.75,5.9675,940400
12/17/86,5.9675,5.9675,5.8125,5.905,564800
12/18/86,5.9375,6.03,5.8425,6,769200
12/19/86,6,6.155,5.9675,6.0925,1179200
12/22/86,6.0925,6.1875,6.03,6.125,1572800
12/23/86,6.0625,6.125,5.9675,6.03,868800
12/24/86,5.9675,6.0625,5.905,6,424400
12/26/86,6,6,5.905,6,89200
12/29/86,5.9675,5.9675,5.8125,5.8125,260800
12/30/86,5.8125,5.875,5.5925,5.6875,517200
12/31/86,5.6875,5.6875,5.3425,5.375,346400
1/2/87,5.4375,5.625,5.28,5.5625,332000
1/5/87,5.625,5.8425,5.5625,5.8425,422800
1/6/87,5.8425,6,5.8125,5.9375,376000
1/7/87,5.9675,6.155,5.9375,6.155,254000
1/8/87,6.155,6.1875,6,6.0925,549600
1/9/87,6.03,6.0925,5.875,6,440800
1/12/87,5.9375,6.0925,5.905,6.0925,889600
1/13/87,6,6.0625,6,6.0625,548000
1/14/87,6.03,6.125,5.905,6.0625,949200
1/15/87,6.0925,6.125,5.9675,6.125,605600
1/16/87,6.125,6.1875,5.875,6,718400
1/19/87,6,6,5.875,6,219200
1/20/87,6,6.03,5.875,5.9675,914000
1/21/87,5.9375,6.03,5.8425,6,582800
1/22/87,5.9675,6.155,5.9675,6.125,807200
1/23/87,6.155,6.1875,5.78,5.78,912400
1/26/87,5.8125,5.9675,5.75,5.8125,334000
1/27/87,5.78,6,5.78,6,923200
1/28/87,6.0625,6.0625,5.875,6.0625,487200
1/29/87,6.0925,6.0925,5.8425,5.9375,730000
1/30/87,5.875,6.03,5.8425,6,426000
2/2/87,6.0625,6.1875,5.9675,6.0925,1813200
2/3/87,6.0625,6.1875,6.0625,6.155,264800
2/4/87,6.2175,6.25,6.125,6.2175,932800
2/5/87,6.1875,6.25,6.0925,6.1875,672400
2/6/87,6.1875,6.1875,6.125,6.125,489600
2/9/87,6.2175,6.25,6.0625,6.125,1955200
2/10/87,6.0625,6.155,5.9375,6.03,415200
2/11/87,6.0925,6.25,5.9375,6.25,304400
2/12/87,6.25,6.25,6,6.03,472800
2/13/87,6.0925,6.3425,6,6.3125,862000
2/17/87,6.25,6.3425,6.2175,6.2175,409200
2/18/87,6.28,6.28,6.0625,6.2175,561600
2/19/87,6.28,6.28,6.0925,6.1875,746000
2/20/87,6.2175,6.2175,6.0925,6.125,605600
2/23/87,6.0625,6.1875,6.03,6.155,442800
2/24/87,6.125,6.3125,6.0925,6.28,486400
2/25/87,6.28,6.28,6.155,6.25,523200
2/26/87,6.25,6.28,6.0925,6.1875,614000
2/27/87,6.25,6.25,6.155,6.2175,690400
3/2/87,6.155,6.2175,6.125,6.155,746400
3/3/87,6.2175,6.3125,6.125,6.28,599200
3/4/87,6.25,6.3125,6.25,6.3125,1208400
3/5/87,6.3425,6.375,6.125,6.2175,1509200
3/6/87,6.1875,6.28,6.155,6.28,653600
3/9/87,6.3125,6.3125,6.155,6.1875,126400
3/10/87,6.25,6.405,6.25,6.3125,898400
3/11/87,6.375,6.375,6.1875,6.2175,571200
3/12/87,6.155,6.4375,6.155,6.405,547600
3/13/87,6.405,6.5,6.3425,6.4375,290000
3/16/87,6.4675,6.4675,6.28,6.405,381600
3/17/87,6.3425,6.4375,6.3125,6.4375,550800
3/18/87,6.4375,6.5925,6.405,6.5625,381600
3/19/87,6.53,6.625,6.4675,6.5925,315600
3/20/87,6.625,6.7175,6.5625,6.7175,580000
3/23/87,6.6875,6.6875,6.5,6.6875,848400
3/24/87,6.625,6.655,6.5,6.5625,324400
3/25/87,6.5,6.625,6.28,6.5,365200
3/26/87,6.5,6.625,6.4675,6.5925,317200
3/27/87,6.4675,6.625,6.3425,6.5,358800
3/30/87,6.375,6.4375,6.0925,6.4375,286400
3/31/87,6.5,6.53,6.3125,6.3125,744800
4/1/87,6.25,6.3425,6,6.1875,524400
4/2/87,6.2175,6.2175,5.9375,6.0625,1031600
4/3/87,6.155,6.5,6.03,6.5,396400
4/6/87,6.4375,6.53,6.3125,6.375,397200
4/7/87,6.4375,6.4375,6,6.155,1020400
4/8/87,6.155,6.4675,6.155,6.4375,821200
4/9/87,6.375,6.4375,6.25,6.3425,453200
4/10/87,6.3125,6.3125,6.1875,6.28,220000
4/13/87,6.25,6.25,6.03,6.03,644400
4/14/87,5.5625,5.8125,5.3125,5.6875,692400
4/15/87,5.75,6.1875,5.5925,6.125,478800
4/16/87,6.155,6.2175,6.03,6.125,500800
4/20/87,6.0925,6.0925,5.78,6.03,284800
4/21/87,6.0925,6.155,5.9375,6.155,316400
4/22/87,5.9675,6.125,5.905,6,577600
4/23/87,6,6,5.78,5.9675,289200
4/24/87,5.9675,5.9675,5.5925,5.9375,369200
4/27/87,5.875,6.0625,5.5625,5.875,508000
4/28/87,5.875,5.875,5.5625,5.75,580000
4/29/87,5.75,5.8425,5.6875,5.75,228000
4/30/87,5.8125,5.9675,5.75,5.905,309600
5/1/87,5.905,5.9375,5.75,5.875,313600
5/4/87,5.9375,6,5.75,6,2033600
5/5/87,6,6.125,5.9375,6.125,660400
5/6/87,6.0625,6.0625,5.875,5.9375,143600
5/7/87,6,6.0625,5.8425,6.03,230800
5/8/87,5.9675,6.0925,5.8425,6.0625,163200
5/11/87,6,6.25,6,6.0925,787200
5/12/87,6.03,6.155,5.875,6.0625,1348400
5/13/87,6.03,6.1875,5.78,6.155,167200
5/14/87,6.0925,6.0925,5.875,6,143600
5/15/87,5.9375,5.9375,5.625,5.8125,218800
5/18/87,5.875,5.875,5.5925,5.8425,363200
5/19/87,5.875,5.875,5.5925,5.625,1438400
5/20/87,5.5925,5.655,5.5,5.5,471600
5/21/87,5.625,5.6875,5.5625,5.5625,300000
5/22/87,5.5925,5.7175,5.5925,5.625,485600
5/26/87,5.75,5.8425,5.7175,5.78,468000
5/27/87,5.8125,5.875,5.75,5.8125,1440400
5/28/87,5.8425,6,5.625,5.9375,397600
5/29/87,5.8425,5.905,5.7175,5.875,314400
6/1/87,5.875,5.9375,5.8125,5.875,291600
6/2/87,5.9375,5.9675,5.7175,5.905,228800
6/3/87,5.8425,5.9675,5.8425,5.9375,450800
6/4/87,5.9375,5.9675,5.8125,5.905,106800
