date,open,high,low,close,volume
12/17/84,4.875,4.9063,4.7975,4.875,741600
12/18/84,4.9063,5.0625,4.9063,5.0475,784800
12/19/84,5.015,5.0313,4.875,4.9225,1562400
12/20/84,4.875,4.9375,4.8438,4.9063,664800
12/21/84,4.875,4.875,4.625,4.6875,578400
12/24/84,4.7188,4.75,4.7188,4.735,170400
12/26/84,4.75,4.765,4.7188,4.75,348000
12/27/84,4.75,4.8125,4.7188,4.7188,380800
12/28/84,4.735,4.735,4.6563,4.6563,1130400
12/31/84,4.64,4.6563,4.5313,4.6563,911200
1/2/85,4.625,4.625,4.4063,4.4063,1360000
1/3/85,4.4688,4.5775,4.4688,4.5625,996800
1/4/85,4.5313,4.6563,4.515,4.61,421600
1/7/85,4.6725,4.7025,4.625,4.64,580000
1/8/85,4.6563,4.6725,4.5313,4.5625,973600
1/9/85,4.625,4.6563,4.61,4.61,496800
1/10/85,4.61,4.7188,4.61,4.7025,444800
1/11/85,4.6563,4.8438,4.6563,4.8438,2984000
1/14/85,4.8275,5,4.8125,4.9688,3213600
1/15/85,4.985,5,4.9375,4.9525,3285600
1/16/85,4.9225,5,4.9063,4.985,1461600
1/17/85,4.985,4.985,4.9525,4.985,477600
1/18/85,4.985,4.985,4.9525,4.9688,668800
1/21/85,4.9525,5.0313,4.9375,5,2425600
1/22/85,5.015,5.2813,5.015,5.2188,2204000
1/23/85,5.2025,5.2188,5.1563,5.1875,726400
1/24/85,5.2025,5.25,5.1875,5.25,1661600
1/25/85,5.235,5.25,4.9225,5.1725,1444800
1/28/85,5.1875,5.2188,5.0938,5.125,627200
1/29/85,5.0938,5.11,5.0313,5.0938,926400
1/30/85,5.125,5.2025,5.125,5.2025,1828800
1/31/85,5.2025,5.2025,5.0938,5.125,827200
2/1/85,5.1563,5.1563,5.0938,5.11,683200
2/4/85,5.14,5.1875,5.14,5.1875,736800
2/5/85,5.2813,5.4063,5.2813,5.36,1245600
2/6/85,5.4225,5.4225,5.3438,5.3438,581600
2/7/85,5.3438,5.375,5.3125,5.3438,413600
2/8/85,5.3438,5.4063,5.3438,5.375,683200
2/11/85,5.375,5.4063,5.375,5.39,282400
2/12/85,5.4063,5.4225,5.36,5.36,547200
2/13/85,5.375,5.61,5.375,5.5938,486400
2/14/85,5.61,5.6875,5.5475,5.5475,2080000
2/15/85,5.515,5.5775,5.515,5.5625,696800
2/19/85,5.5313,5.5475,5.4375,5.515,924800
2/20/85,5.5,5.5,5.3438,5.375,938400
2/21/85,5.3438,5.375,5.25,5.3125,547200
2/22/85,5.2975,5.3125,5.1875,5.1875,471200
2/25/85,5.1875,5.1875,5.11,5.1563,765600
2/26/85,5.1563,5.3125,5.1563,5.25,888000
2/27/85,5.25,5.25,5.2025,5.2025,566400
2/28/85,5.235,5.2813,5.125,5.2813,952800
3/1/85,5.2813,5.4525,5.2813,5.375,1145600
