date,open,high,low,close,volume
1/2/70,12.78,13.0625,12.78,13.0625,526400
1/5/70,13.0625,13.22,13.03,13.125,1121600
1/6/70,13.125,13.1875,12.875,12.9375,553600
1/7/70,12.9375,12.97,12.78,12.905,451200
1/8/70,13.0625,13.25,13.0625,13.155,635200
1/9/70,13.155,13.1875,13.095,13.1875,515200
1/12/70,13.1875,13.28,13,13.095,334400
1/13/70,13.095,13.095,12.875,12.905,372800
1/14/70,12.905,12.905,12.405,12.5,1124800
1/15/70,12.5,12.5625,12.405,12.47,336000
1/16/70,12.47,12.5,12.345,12.47,425600
1/19/70,12.47,12.47,12.345,12.4375,508800
1/20/70,12.4375,12.4375,12.28,12.3125,588800
1/21/70,12.3125,12.345,12.1875,12.22,454400
1/22/70,12.22,12.375,12.125,12.25,640000
1/23/70,12.25,12.25,12.125,12.1875,427200
1/26/70,12.1875,12.1875,11.905,12.095,732800
1/27/70,12.0625,12.0625,11.78,12.0625,540800
1/28/70,12.0625,12.125,11.655,11.655,499200
1/29/70,11.655,11.75,11.5,11.625,696000
1/30/70,11.625,11.75,11.4375,11.53,817600
2/2/70,11.53,11.625,11.4375,11.5,937600
2/3/70,11.5,11.53,11.375,11.405,1971200
2/4/70,11.405,11.53,11.405,11.5,534400
2/5/70,11.5,11.5,11.405,11.5,337600
2/6/70,11.5,11.5,11.405,11.4375,272000
2/9/70,11.4375,11.5,11.405,11.405,558400
2/10/70,11.405,11.47,10.8125,10.8125,996800
2/11/70,10.8125,11.0625,10.5625,11.0625,878400
2/12/70,11.0625,11.1875,10.6875,10.8125,816000
2/13/70,10.8125,11.03,10.655,10.875,492800
2/16/70,10.875,11,10.78,11,488000
2/17/70,11,11.03,10.845,10.9375,451200
2/18/70,11,11.25,11,11.22,1028800
2/19/70,11.25,11.4375,11.25,11.345,824000
2/20/70,11.345,11.5,11.345,11.5,1166400
2/24/70,11.5,11.5,11.405,11.5,1043200
2/25/70,11.5625,11.875,11.5625,11.875,593600
2/26/70,11.875,12.095,11.845,12,862400
2/27/70,12,12.125,11.875,11.875,1246400
3/2/70,11.875,11.875,11.5625,11.655,518400
3/3/70,11.655,11.75,11.405,11.595,544000
3/4/70,11.595,11.72,11.47,11.5,422400
3/5/70,11.47,11.47,11.345,11.4375,684800
3/6/70,11.4375,11.53,11.375,11.53,481600
3/9/70,11.53,11.6875,11.375,11.47,524800
3/10/70,11.47,11.595,11.405,11.53,430400
3/11/70,11.53,11.595,11.5,11.53,843200
3/12/70,11.53,11.53,11.405,11.47,539200
3/13/70,11.47,11.47,11.1875,11.3125,688000
3/16/70,11.22,11.22,10.8125,11.22,732800
3/17/70,11.22,11.28,11.0625,11.22,564800
3/18/70,11.22,11.4375,11.155,11.3125,436800
3/19/70,11.3125,11.3125,11.03,11.03,827200
3/20/70,11.03,11.0625,10.9375,11.0625,372800
3/23/70,11,11,10.845,10.9375,539200
3/24/70,10.9375,11.125,10.875,11.03,355200
3/25/70,11.095,11.47,11.095,11.25,987200
3/26/70,11.22,11.22,10.875,11,1644800
3/30/70,11,11,10.905,10.97,628800
3/31/70,10.97,11.155,10.9375,11.125,579200
4/1/70,11.125,11.345,11.125,11.345,1028800
4/2/70,11.345,11.345,11.03,11.125,1150400
4/3/70,11.125,11.25,11.0625,11.25,449600
4/6/70,11.25,11.3125,11.155,11.28,384000
4/7/70,11.28,11.28,11.125,11.125,422400
4/8/70,11.125,11.22,11.095,11.22,321600
4/9/70,11.1875,11.1875,11,11.1875,520000
4/10/70,11.1875,11.1875,11.095,11.125,360000
4/13/70,11.125,11.1875,11.03,11.0625,408000
4/14/70,11.0625,11.0625,10.9375,10.97,563200
4/15/70,10.97,11,10.905,10.97,385600
4/16/70,10.97,10.97,10.75,10.8125,816000
4/17/70,10.8125,10.905,10.75,10.845,286400
4/20/70,10.845,10.9375,10.8125,10.845,350400
4/21/70,10.845,10.905,10.78,10.845,302400
4/22/70,10.845,10.845,10.625,10.78,440000
4/23/70,10.78,10.8125,10.625,10.75,516800
4/24/70,10.75,10.8125,10.5625,10.595,548800
4/27/70,10.595,10.6875,10.5,10.5,582400
4/28/70,10.5,10.595,10.25,10.345,860800
4/29/70,10.345,10.47,10,10.4375,873600
4/30/70,10.4375,10.595,10.345,10.4375,430400
5/1/70,10.4375,10.4375,10.125,10.4375,707200
5/4/70,10.4375,10.47,10.125,10.25,537600
5/5/70,10.22,10.22,10.03,10.0625,633600
5/6/70,10.0625,10.125,9.9375,10.03,1187200
5/7/70,10.03,10.095,9.905,10.03,563200
5/8/70,10.03,10.095,9.97,10,531200
5/11/70,10,10.03,9.875,9.97,580800
5/12/70,9.97,10.125,9.8125,9.97,913600
5/13/70,9.97,10,9.655,9.905,742400
5/14/70,9.905,10.22,9.875,10.0625,846400
5/15/70,10.0625,10.25,9.97,10.25,449600
5/18/70,10.25,10.375,10.125,10.375,518400
5/19/70,10.375,10.47,10.1875,10.1875,273600
5/20/70,10.1875,10.25,10,10.0625,337600
5/21/70,10.0625,10.125,9.875,9.9375,577600
5/22/70,9.9375,10.22,9.905,9.97,348800
5/25/70,9.97,10,9.875,9.9375,334400
5/26/70,9.9375,9.97,9.78,9.9375,532800
5/27/70,9.9375,10.4375,9.905,10.25,625600
5/28/70,10.28,10.655,10.28,10.625,505600
5/29/70,10.625,10.905,10.53,10.875,544000
6/1/70,10.875,11.125,10.78,11.095,537600
6/2/70,11.095,11.155,10.75,10.97,435200
6/3/70,10.97,11.22,10.875,11.155,420800
6/4/70,11.155,11.25,10.78,10.78,587200
6/5/70,10.72,10.72,10.5,10.53,382400
6/8/70,10.53,10.625,10.405,10.47,334400
