date,open,high,low,close,volume
5/4/99,76,77.25,70,70.38,22320900
5/5/99,69.88,69.88,66.25,69.13,7565700
5/6/99,68,69.38,67.06,67.94,2905700
5/7/99,67.94,74.88,66.75,74.13,4862300
5/10/99,73.38,73.5,70.25,70.69,2589400
5/11/99,70,71.19,69.5,70.63,1839800
5/12/99,71,74.88,69.13,73.5,2659300
5/13/99,73.25,75.25,72.5,74.25,1142900
5/14/99,71.25,72.25,69.06,70.19,2058400
5/17/99,69.13,70.25,68,68.63,2075000
5/18/99,68.25,70.44,68.13,68.63,1407100
5/19/99,69.38,69.81,68.75,69.31,727400
5/20/99,69.56,70.13,68.38,68.38,520800
5/21/99,68.13,68.81,67.5,67.5,936200
5/24/99,67,67.25,65,65.31,1493000
5/25/99,64.13,65.94,64,64.5,1662400
5/26/99,65.63,66.63,63.06,66.06,1602900
5/27/99,65,67.75,64.69,67.75,1220500
5/28/99,67.75,68.81,67,67.94,901900
6/1/99,66.63,66.63,63.56,64.19,953900
6/2/99,63.75,64.06,62,63.25,2204300
6/3/99,64,64.19,63.13,63.63,852600
6/4/99,64.31,67,64.31,65.38,1357400
6/7/99,65.19,67.75,65.19,65.94,891900
6/8/99,65.38,65.69,63.75,63.75,571700
6/9/99,64.25,65.5,63.63,65.5,611400
6/10/99,64.88,64.94,63.31,63.38,664200
6/11/99,63.94,64.31,62.31,62.94,969300
6/14/99,63.5,64,60.5,61.25,821100
6/15/99,62.88,63.38,62.25,62.75,831700
6/16/99,63.94,65.44,63.94,65.25,690300
6/17/99,64.5,66.88,64.5,65,955700
6/18/99,64.25,64.88,63.5,64.81,613900
6/21/99,66.69,69.94,66.56,69.5,1811000
6/22/99,70.13,70.13,67.75,68,1165900
6/23/99,67.06,67.44,64.88,65,1351700
6/24/99,66.06,66.5,64.5,65.06,1408900
6/25/99,65.5,66.81,65.38,66.25,1111500
6/28/99,66.44,67.5,65.75,66.56,784600
6/29/99,66,68.5,66,67.75,629800
6/30/99,68.5,72.25,66.13,72.25,2127600
7/1/99,71.38,71.44,69.75,70.81,813600
7/2/99,70.56,71.19,69.69,70.94,536900
7/6/99,70,71.19,69.25,70.5,747600
7/7/99,69.56,70,68,68,648800
7/8/99,68,68.88,67.19,67.25,424400
7/9/99,67.44,68.19,67.25,67.25,312700
7/12/99,68,68.94,67.88,68.38,547700
7/13/99,68.25,68.69,67.63,67.88,969600
7/14/99,67.38,67.75,67.31,67.63,888200
7/15/99,68,68,67.5,67.94,864700
7/16/99,67.75,68.75,67.75,68.06,476700
7/19/99,68.25,70.75,68.25,69.44,646100
7/20/99,69.13,70.44,67.88,68.13,886100
7/21/99,68,68.06,67.13,67.88,626100
7/22/99,68.13,68.25,66.5,66.5,579500
7/23/99,66.38,66.38,64,64.06,767200
7/26/99,64.25,64.75,63.19,63.25,749500
7/27/99,64.25,65.75,63.31,65.5,592200
7/28/99,65.25,66.38,64,66.06,584800
7/29/99,65.5,65.5,64.5,65,646000
7/30/99,65,65,63.63,64.31,629600
8/2/99,64.25,64.56,62.38,62.81,566400
8/3/99,62.81,62.81,60.75,60.81,837700
