date,open,high,low,close,volume
6/1/72,4.1238,4.1408,4.0833,4.1408,158400
6/2/72,4.1408,4.2188,4.1146,4.1721,704808
6/5/72,4.1458,4.1458,4,4.0104,284400
6/6/72,4.0104,4.0417,3.9896,4,203592
6/7/72,4,4.0104,3.9792,3.9846,85608
6/8/72,3.9846,4.0104,3.9688,3.9688,191208
6/9/72,3.9583,3.9583,3.8854,3.9479,292008
6/12/72,3.9479,3.995,3.9479,3.9479,128400
6/13/72,3.9479,3.9688,3.9063,3.9271,720000
6/14/72,3.9271,3.9688,3.9221,3.9583,594000
6/15/72,3.9583,3.995,3.9583,3.9846,251592
6/16/72,3.9846,4.0154,3.9792,4.005,279192
6/19/72,4.0104,4.0521,4.0104,4.0467,516000
6/20/72,4.0467,4.0575,4.0104,4.0367,375192
6/21/72,4.0367,4.0679,4.0313,4.0521,246408
6/22/72,4.0521,4.0729,4.005,4.0729,208800
6/23/72,4.0729,4.1771,4.0729,4.1354,498408
6/26/72,4.1354,4.1563,4.1096,4.1354,251592
6/27/72,4.1354,4.1667,4.125,4.1667,271608
6/28/72,4.1667,4.1825,4.1563,4.1667,110808
6/29/72,4.1667,4.1979,4.1563,4.1875,211200
6/30/72,4.1825,4.1825,4.1563,4.1563,120792
7/3/72,4.1563,4.1667,4.1042,4.125,128400
7/5/72,4.125,4.1458,4.1042,4.125,118008
7/6/72,4.125,4.1875,4.1146,4.1146,236400
7/7/72,4.1146,4.1196,4.0417,4.0625,226392
7/10/72,4.0625,4.125,4.0625,4.1042,370008
7/11/72,4.1042,4.1042,4.0729,4.0729,148392
7/12/72,4.0625,4.0625,3.995,4,271608
7/13/72,4,4,3.9583,3.995,269208
7/14/72,4,4.0833,4,4.0729,742800
7/17/72,4.0729,4.0779,4.0417,4.0625,536400
7/18/72,4.0625,4.0625,4.0263,4.0625,186000
7/19/72,4.0729,4.1458,4.0729,4.0833,339600
7/20/72,4.0679,4.0679,4.0313,4.0417,312000
7/21/72,4.0417,4.0729,4.0263,4.0729,360000
7/24/72,4.0729,4.0833,4.0263,4.0729,543600
7/25/72,4.0883,4.1721,4.0883,4.125,941592
7/26/72,4.125,4.1354,4.1042,4.1096,203592
7/27/72,4.125,4.1667,4.125,4.1667,360000
7/28/72,4.1667,4.1875,4.1667,4.1875,395208
7/31/72,4.1875,4.2083,4.1667,4.1875,138408
8/1/72,4.1875,4.2292,4.1721,4.2292,193608
8/2/72,4.25,4.4167,4.25,4.4063,904008
8/3/72,4.4167,4.5729,4.4167,4.5208,523608
8/4/72,4.5417,4.5833,4.5417,4.5625,496008
8/7/72,4.5625,4.5675,4.5313,4.5313,188808
8/8/72,4.5313,4.6513,4.5313,4.6513,307200
8/9/72,4.6513,4.75,4.6513,4.6667,448008
8/10/72,4.6875,4.75,4.6875,4.7242,246408
8/11/72,4.7292,4.9167,4.7292,4.8333,400392
8/14/72,4.8333,4.9117,4.8125,4.875,314400
8/15/72,4.87,4.87,4.7917,4.8438,218808
8/16/72,4.8438,4.875,4.7917,4.7917,196392
8/17/72,4.7917,4.8229,4.7763,4.7917,432792
8/18/72,4.7917,4.8175,4.7708,4.7917,236400
8/21/72,4.7658,4.7658,4.7133,4.7242,183600
8/22/72,4.7242,4.7863,4.7188,4.7708,304392
8/23/72,4.7708,4.7917,4.7604,4.7813,440400
8/24/72,4.7708,4.7708,4.7133,4.7242,55200
8/25/72,4.5729,4.5729,4.4742,4.4896,594000
8/28/72,4.4896,4.4946,4.3958,4.4638,344808
8/29/72,4.4638,4.4638,4.4013,4.4271,236400
8/30/72,4.4375,4.5625,4.4375,4.5258,354792
8/31/72,4.5258,4.6667,4.5,4.6667,516000
9/1/72,4.6667,4.75,4.6513,4.6979,352392
9/5/72,4.6979,4.6979,4.62,4.6354,307200
9/6/72,4.6354,4.6458,4.6042,4.63,601608
9/7/72,4.63,4.6563,4.62,4.6354,344808
9/8/72,4.625,4.625,4.5833,4.5888,375192
9/11/72,4.5888,4.6096,4.5888,4.5938,282000
9/12/72,4.5938,4.5938,4.4842,4.5104,707592
9/13/72,4.5104,4.5417,4.4583,4.5208,382392
9/14/72,4.5208,4.5729,4.5,4.5417,425208
9/15/72,4.5417,4.5675,4.5258,4.5417,422808
9/18/72,4.5417,4.5417,4.5054,4.5313,140808
9/19/72,4.5313,4.5367,4.5,4.5158,317208
9/20/72,4.4792,4.4792,4.4375,4.4742,367608
9/21/72,4.4742,4.4742,4.4429,4.4429,511200
9/22/72,4.4583,4.5521,4.4583,4.5313,334800
9/25/72,4.5417,4.625,4.5417,4.5417,367608
9/26/72,4.5521,4.5938,4.5521,4.5729,244008
9/27/72,4.5988,4.7033,4.5988,4.6979,647208
9/28/72,4.6979,4.8542,4.6979,4.8542,856008
9/29/72,4.9063,5.0313,4.9063,4.9429,631992
10/2/72,4.9429,4.9896,4.8542,4.9063,1029600
10/3/72,4.9167,5.005,4.9167,5.005,294408
10/4/72,5.0104,5.1042,5.0104,5.0208,418008
10/5/72,5.0208,5.0521,4.9167,4.9167,410400
10/6/72,4.9167,4.9167,4.75,4.8492,760392
10/9/72,4.8904,4.9167,4.8904,4.8904,178800
10/10/72,4.9375,5.0625,4.9375,5,536400
10/11/72,5,5.0575,4.9375,5,322008
10/12/72,5,5,4.9008,4.9896,301992
10/13/72,4.9896,5,4.9429,4.9792,299592
10/16/72,4.9792,4.995,4.9375,4.9429,324792
10/17/72,4.9429,4.9688,4.8958,4.9429,561192
10/18/72,4.9429,5.0779,4.9429,5.0679,591600
10/19/72,5.0679,5.1146,5.0467,5.0679,652008
10/20/72,5.0679,5.1408,5.0625,5.1096,1354800
10/23/72,5.1875,5.2604,5.1875,5.1979,463200
10/24/72,5.1979,5.2396,5.1458,5.2083,379992
10/25/72,5.1875,5.1875,5.1196,5.1667,113208
10/26/72,5.1667,5.2083,5.0833,5.0833,256800
10/27/72,5.0833,5.1458,5.0833,5.125,425208
10/30/72,5.1563,5.1979,5.1563,5.1721,259200
10/31/72,5.2083,5.3125,5.2083,5.3125,564000
11/1/72,5.3283,5.4271,5.3283,5.4167,521208
11/2/72,5.4167,5.4792,5.4063,5.4429,443208
11/3/72,5.4583,5.5938,5.4583,5.5833,412800
11/6/72,5.5833,5.6563,5.5417,5.62,490800
11/8/72,5.6354,5.6667,5.6354,5.6404,982008
11/9/72,5.6404,5.6667,5.63,5.6563,780408
11/10/72,5.6563,5.6979,5.63,5.6563,649608
11/13/72,5.6563,5.6821,5.6458,5.6717,480792
11/14/72,5.6717,5.6821,5.5729,5.5729,1254000
11/15/72,5.5417,5.5417,5.4375,5.4479,883608
