date,open,high,low,close,volume
1/2/62,28.925,28.925,28.6,28.6,387200
1/3/62,28.6,28.85,28.6,28.85,288000
1/4/62,28.85,28.85,28.55,28.5625,256000
1/5/62,28.525,28.525,27.95,28,363200
1/8/62,27.975,27.975,27.25,27.475,544000
1/9/62,27.6,28.15,27.6,27.8,491200
1/10/62,27.85,27.975,27.85,27.85,299200
1/11/62,27.925,28.15,27.925,28.15,315200
1/12/62,28.2,28.4,28.2,28.2,435200
1/15/62,28.3,28.3875,28.3,28.325,251200
1/16/62,28.3,28.3,28.025,28.025,251200
1/17/62,27.9,27.9,27.5,27.575,419200
1/18/62,27.65,27.925,27.65,27.65,371200
1/19/62,27.65,27.725,27.35,27.675,400000
1/22/62,27.675,27.95,27.6,27.625,275200
1/23/62,27.6125,27.65,27.3,27.35,371200
1/24/62,27.35,27.5,27.2125,27.5,408000
1/25/62,27.5,27.725,27.15,27.2,315200
1/26/62,27.2,27.3,27.05,27.0625,243200
1/29/62,27.0625,27.25,26.6,26.6,579200
1/30/62,26.6,26.75,26.2625,26.2625,736000
1/31/62,26.525,27.1,26.525,27.1,760000
2/1/62,27.375,27.8,27.375,27.725,640000
2/2/62,27.725,27.9,27.6,27.9,507200
2/5/62,27.9,27.9,27.4,27.55,312000
2/6/62,27.55,27.6,27.45,27.575,256000
2/7/62,27.6,27.75,27.6,27.6,251200
2/8/62,27.6,27.75,27.6,27.625,16000
2/9/62,27.625,27.825,27.5,27.825,432000
2/12/62,27.825,28.05,27.8,27.85,280000
2/13/62,27.85,27.875,27.4,27.4,256000
2/14/62,27.4,27.5,27.3,27.35,208000
2/15/62,27.35,27.35,27.225,27.25,227200
2/16/62,27.25,27.35,27.225,27.225,219200
2/19/62,27.225,27.35,26.9,26.95,280000
2/20/62,26.9625,27.1,26.9625,26.9625,288000
2/21/62,26.9625,27.15,26.7625,26.7625,363200
2/23/62,26.8,26.9,26.8,26.85,288000
2/26/62,26.85,26.875,26.7,26.75,299200
2/27/62,26.75,26.975,26.6,26.8,347200
2/28/62,26.8,26.85,26.65,26.85,267200
3/1/62,26.95,27.175,26.95,27.175,280000
3/2/62,27.4,27.55,27.4,27.4,243200
3/5/62,27.4,27.4,27.2,27.3,360000
3/6/62,27.3,27.425,27.25,27.325,184000
3/7/62,27.325,27.4125,27.25,27.4125,123200
3/8/62,27.4125,27.475,27.25,27.475,184000
