date,open,high,low,close,volume
12/16/91,0.5234,0.5938,0.5234,0.5625,143667200
12/17/91,0.5781,0.5781,0.5469,0.5547,16176000
12/18/91,0.5547,0.5703,0.5547,0.5703,10899200
12/19/91,0.5703,0.5703,0.5469,0.5469,7299200
12/20/91,0.5469,0.5703,0.5469,0.5625,5235200
12/23/91,0.5703,0.5703,0.5469,0.5584,7894400
12/24/91,0.5506,0.6016,0.5469,0.6016,7129600
12/26/91,0.5859,0.6875,0.5859,0.6875,8672000
12/27/91,0.6953,0.6953,0.6484,0.6641,6396800
12/30/91,0.6641,0.6797,0.6484,0.6797,6627200
12/31/91,0.6797,0.7813,0.6719,0.7734,12572800
1/2/92,0.7734,0.8672,0.7656,0.8631,22121600
1/3/92,0.8672,0.8906,0.8438,0.875,6092800
1/6/92,0.8984,0.8984,0.7578,0.8203,15987200
1/7/92,0.8125,0.8359,0.7891,0.7969,4940800
1/8/92,0.8047,0.8047,0.6797,0.7031,36828800
1/9/92,0.7266,0.7734,0.7188,0.7734,20809600
1/10/92,0.7813,0.7891,0.7266,0.75,7961600
1/13/92,0.7656,0.8359,0.7422,0.8125,8499200
1/14/92,0.8359,0.8359,0.8047,0.8203,3628800
1/15/92,0.8359,0.8516,0.8125,0.8281,5910400
1/16/92,0.8359,0.8438,0.7734,0.8047,3654400
1/17/92,0.7891,0.8125,0.7891,0.7891,1574400
1/20/92,0.7813,0.7969,0.7422,0.7813,3350400
1/21/92,0.7969,0.7969,0.7344,0.75,3724800
1/22/92,0.75,0.7813,0.7344,0.7813,5132800
1/23/92,0.7969,0.7969,0.7344,0.7344,3248000
1/24/92,0.7344,0.7578,0.7344,0.7422,355200
1/27/92,0.7578,0.7578,0.7109,0.7266,2675200
1/28/92,0.7266,0.7266,0.6875,0.7031,3673600
1/29/92,0.7109,0.7344,0.6875,0.7188,1702400
1/30/92,0.7109,0.7656,0.7109,0.7422,2505600
1/31/92,0.7422,0.75,0.7344,0.75,1702400
2/3/92,0.75,0.8047,0.7422,0.7694,2611200
2/4/92,0.7734,0.8047,0.7578,0.7813,4233600
2/5/92,0.7734,0.7891,0.7734,0.7734,3280000
2/6/92,0.7969,0.7969,0.7578,0.7578,7232000
2/7/92,0.7813,0.7813,0.6797,0.7344,8979200
2/10/92,0.7109,0.7344,0.6875,0.7031,4940800
2/11/92,0.7109,0.7344,0.6953,0.7109,1667200
2/12/92,0.7109,0.7734,0.6953,0.75,3603200
2/13/92,0.7656,0.7656,0.7109,0.7109,1398400
2/14/92,0.7266,0.7266,0.7031,0.7266,2825600
2/18/92,0.7266,0.7266,0.6953,0.7109,1078400
2/19/92,0.6875,0.7109,0.6797,0.6875,1408000
2/20/92,0.6875,0.7266,0.6875,0.7266,5705600
2/21/92,0.7031,0.7266,0.6563,0.6563,3836800
2/24/92,0.6563,0.6797,0.5781,0.6131,12384000
2/25/92,0.6328,0.6484,0.6016,0.625,3513600
