date,open,high,low,close,volume
3/26/90,1.0938,1.0938,1.0625,1.0775,60800
3/27/90,1.0625,1.0625,1.0625,1.0625,2400
3/28/90,1.0625,1.0775,1.0625,1.0625,77600
3/29/90,1.0775,1.0775,1.0625,1.0625,517600
3/30/90,1.0625,1.0625,1.0625,1.0625,4800
4/2/90,1.0625,1.0625,1.0475,1.0475,192000
4/3/90,1.0475,1.0625,1.0475,1.0475,200800
4/4/90,1.0625,1.0625,1.0475,1.0475,120800
4/5/90,1.0475,1.0475,1.0475,1.0475,2400
4/6/90,1.0775,1.0775,1.0475,1.0475,16800
4/9/90,1.0475,1.0625,1.0475,1.0625,530400
4/10/90,1.0475,1.0475,1.0475,1.0475,11200
4/11/90,1.0475,1.0475,1.015,1.015,376800
4/12/90,1.015,1.0313,1.015,1.0313,28800
4/16/90,1.015,1.0475,1.015,1.015,165600
4/17/90,1.0313,1.0475,1.015,1.0313,1324000
4/18/90,1.0313,1.0313,0.985,1.015,268000
4/19/90,1.015,1.015,1,1.015,100800
4/20/90,1.0313,1.0313,1,1,161600
4/23/90,1,1,0.9525,0.9525,101600
4/24/90,0.985,0.985,0.9375,0.9525,168800
4/25/90,0.9525,0.9688,0.9375,0.9688,399200
4/26/90,0.985,0.985,0.9688,0.9688,19200
4/27/90,0.9688,0.9688,0.9525,0.9525,268000
4/30/90,0.9688,0.9688,0.9525,0.9525,15200
5/1/90,0.9688,1,0.9688,0.9688,208000
5/2/90,0.985,1.015,0.985,1,307200
5/3/90,1,1.0313,1,1.015,1784000
5/4/90,1.0313,1.0475,0.985,0.985,624800
5/7/90,0.985,1.015,0.985,1,116800
5/8/90,1.015,1.015,1,1.015,492000
5/9/90,1,1.0313,1,1.015,5385600
5/10/90,1,1.0313,1,1.015,726400
5/11/90,1,1.0313,1,1.015,1715200
5/14/90,1,1,1,1,28800
5/15/90,1,1.0313,1,1.0313,928000
5/16/90,1.015,1.0775,1.015,1.0625,389600
5/17/90,1.0475,1.0775,1.0475,1.0775,179200
5/18/90,1.0625,1.0775,1.0625,1.0775,205600
5/21/90,1.0475,1.0775,1.0475,1.0475,217600
5/22/90,1.0775,1.11,1.0475,1.0775,842400
5/23/90,1.0775,1.1725,1.0775,1.1563,407200
5/24/90,1.14,1.1725,1.14,1.1725,80000
5/25/90,1.1875,1.1875,1.1563,1.1563,304000
5/29/90,1.1563,1.1875,1.1563,1.1725,156000
