date,open,high,low,close,volume
3/26/90,0.2969,0.2969,0.2931,0.2931,412800
3/27/90,0.2931,0.3084,0.2931,0.3084,3913600
3/28/90,0.3084,0.3084,0.3006,0.3006,1561600
3/29/90,0.3084,0.3084,0.3047,0.3047,537600
3/30/90,0.3084,0.3084,0.3006,0.3047,1756800
4/2/90,0.3006,0.3084,0.2931,0.3084,2451200
4/3/90,0.3125,0.3203,0.3047,0.3125,2812800
4/4/90,0.3166,0.3203,0.3084,0.3125,4003200
4/5/90,0.3166,0.3244,0.3166,0.3203,3961600
4/6/90,0.3244,0.3281,0.3203,0.3244,1273600
4/9/90,0.3244,0.3281,0.3166,0.3166,2873600
4/10/90,0.3166,0.3203,0.3084,0.3084,2118400
4/11/90,0.3166,0.3203,0.3125,0.3166,3440000
4/12/90,0.3203,0.3281,0.3166,0.3281,3254400
4/16/90,0.3281,0.3319,0.3203,0.3244,4595200
4/17/90,0.3244,0.3319,0.3244,0.3244,7257600
4/18/90,0.3244,0.3281,0.3203,0.3203,2291200
4/19/90,0.3203,0.3203,0.3166,0.3203,896000
4/20/90,0.3166,0.3203,0.3125,0.3166,1168000
4/23/90,0.3084,0.3125,0.3047,0.3125,998400
4/24/90,0.3125,0.3166,0.3084,0.3084,700800
4/25/90,0.3125,0.3166,0.3125,0.3166,758400
4/26/90,0.3166,0.3244,0.3166,0.3203,1228800
4/27/90,0.3166,0.3203,0.3125,0.3125,1888000
4/30/90,0.3244,0.3438,0.3203,0.3359,12281600
5/1/90,0.3397,0.3556,0.3397,0.3516,11120000
5/2/90,0.3516,0.3672,0.3478,0.3672,3782400
5/3/90,0.3709,0.3709,0.3594,0.3594,5475200
5/4/90,0.3672,0.3828,0.3672,0.375,11257600
5/7/90,0.3869,0.4022,0.3828,0.3984,37350400
5/8/90,0.4022,0.4141,0.3944,0.4103,15411200
5/9/90,0.4063,0.4141,0.3944,0.4022,12224000
5/10/90,0.4022,0.4063,0.3984,0.3984,11753600
5/11/90,0.4022,0.4103,0.4022,0.4022,10361600
5/14/90,0.4022,0.4103,0.4022,0.4103,5904000
5/15/90,0.4103,0.4103,0.4022,0.4103,7558400
5/16/90,0.4103,0.4297,0.4063,0.4181,9673600
5/17/90,0.4256,0.4256,0.4181,0.4219,12099200
5/18/90,0.4181,0.4256,0.4181,0.4181,11516800
5/21/90,0.4181,0.4297,0.4181,0.4297,8473600
5/22/90,0.4375,0.4494,0.4334,0.4494,29398400
5/23/90,0.4494,0.4569,0.4416,0.4569,21696000
5/24/90,0.4531,0.4688,0.4531,0.4647,11273600
5/25/90,0.4609,0.4647,0.4569,0.4569,13379200
5/29/90,0.4531,0.4647,0.4494,0.4647,8790400
5/30/90,0.4609,0.4728,0.4609,0.4688,11872000
