date,open,high,low,close,volume
1/3/77,9.6867,9.7917,9.6867,9.7083,111900
1/4/77,9.7083,9.75,9.5633,9.5833,94350
1/5/77,9.5833,9.73,9.4583,9.52,125850
1/6/77,9.52,9.625,9.4367,9.5,111150
1/7/77,9.5,9.5417,9.2917,9.4583,94350
1/10/77,9.4583,9.5633,9.355,9.48,130500
1/11/77,9.48,9.645,9.3333,9.3333,96000
1/12/77,9.3333,9.395,9.23,9.3133,104700
1/13/77,9.3133,9.4367,9.3133,9.4367,100950
1/14/77,9.4367,9.4583,9.3333,9.355,114600
1/17/77,9.355,9.4583,9.25,9.3133,100500
1/18/77,9.3133,9.4367,9.23,9.27,242100
1/19/77,9.27,9.355,9.1667,9.355,118200
1/20/77,9.355,9.355,9,9.2083,168600
1/21/77,9.2083,9.3133,9.125,9.3133,148500
1/24/77,9.25,9.25,9.125,9.1667,170700
1/25/77,9.1667,9.25,9.0417,9.125,116550
1/26/77,9.125,9.145,9.02,9.0633,103200
1/27/77,8.98,8.98,8.6667,8.77,212400
1/28/77,8.77,8.875,8.7083,8.855,193950
1/31/77,8.855,9.02,8.7917,9,157500
2/1/77,9,9.0417,8.855,8.855,161550
2/2/77,8.855,9.0633,8.645,8.6667,200850
2/3/77,8.6667,8.7917,8.605,8.7917,132300
2/4/77,8.7917,8.875,8.73,8.7917,154950
2/7/77,8.7917,8.9167,8.75,8.7917,95100
2/8/77,8.7917,8.8333,8.605,8.645,390750
2/9/77,8.645,8.6867,8.52,8.6867,232050
2/10/77,8.6867,8.73,8.5633,8.6667,144750
2/11/77,8.6667,8.6867,8.605,8.645,120000
2/14/77,8.645,8.75,8.5417,8.75,143700
2/15/77,8.75,8.77,8.6867,8.73,144750
2/16/77,8.73,8.8333,8.6867,8.75,103650
2/17/77,8.75,8.75,8.625,8.6667,91950
2/18/77,8.6667,8.6667,8.5417,8.625,74400
2/22/77,8.625,8.6867,8.605,8.645,90750
2/23/77,8.645,8.645,8.4367,8.48,143850
2/24/77,8.48,8.48,8.2917,8.3133,246150
2/25/77,8.3133,8.48,8.2917,8.4167,175500
2/28/77,8.4167,8.4367,8.27,8.395,184950
3/1/77,8.395,8.5633,8.375,8.48,203700
3/2/77,8.48,8.52,8.3333,8.375,118650
3/3/77,8.375,8.4583,8.375,8.4583,115950
3/4/77,8.4583,8.625,8.4367,8.5633,74700
3/7/77,8.5633,8.645,8.5417,8.625,76650
3/8/77,8.625,8.6667,8.48,8.5,80550
3/9/77,8.48,8.48,8.2917,8.2917,195450
3/10/77,8.2917,8.4367,8.25,8.4167,154200
3/11/77,8.395,8.395,8.2917,8.3333,161400
3/14/77,8.3333,8.395,8.125,8.395,103350
3/15/77,8.395,8.395,8.2917,8.3333,185400
3/16/77,8.3333,8.395,8.3133,8.3333,395250
3/17/77,8.3133,8.3133,8.27,8.3133,127800
3/18/77,8.3133,8.3133,8.125,8.1667,353700
3/21/77,8.1667,8.1867,7.98,8.0633,190350
3/22/77,8.0633,8.105,8,8.105,131250
3/23/77,8.105,8.125,7.98,7.98,123750
3/24/77,7.98,8.02,7.8133,7.855,167700
3/25/77,7.855,7.9167,7.7917,7.875,144150
3/28/77,7.875,7.9583,7.8133,7.9367,111750
3/29/77,7.9367,8.105,7.9367,8.105,236700
3/30/77,8.105,8.125,7.9167,7.9583,132300
3/31/77,7.9583,8.0417,7.9167,7.98,181650
4/1/77,7.98,8.0417,7.9367,8.0417,137100
4/4/77,8.0417,8.0633,7.9167,7.9367,117000
4/5/77,7.9367,7.9583,7.8133,7.875,159750
4/6/77,7.875,7.9367,7.7083,7.75,110400
4/7/77,7.73,7.73,7.6867,7.7083,87600
4/11/77,7.7083,7.9167,7.7083,7.875,153750
4/12/77,7.9583,8.2083,7.9583,8.1667,236400
4/13/77,8.145,8.145,8,8.125,277350
4/14/77,8.125,8.25,8.125,8.145,124500
4/15/77,8.125,8.125,8.02,8.0417,95100
4/18/77,8.0417,8.0417,7.645,7.645,118800
4/19/77,7.645,7.73,7.52,7.5417,247200
4/20/77,7.5417,7.77,7.5417,7.77,271650
4/21/77,7.77,7.9167,7.7083,7.7083,264450
4/22/77,7.7083,7.7083,7.625,7.7083,107250
4/25/77,7.7083,7.7083,7.5633,7.605,120150
4/26/77,7.605,7.6867,7.5417,7.605,129600
4/27/77,7.605,7.73,7.605,7.6667,99750
4/28/77,7.6667,7.77,7.645,7.7083,132750
4/29/77,7.7083,7.73,7.52,7.5833,268800
5/2/77,7.5,7.5,7.25,7.4167,293100
5/3/77,7.4167,7.5,7.3333,7.3333,169500
5/4/77,7.3333,7.4167,7.1867,7.375,252750
5/5/77,7.375,7.4167,7.3333,7.395,131400
5/6/77,7.395,7.4167,7.3333,7.375,113250
5/9/77,7.375,7.5417,7.375,7.52,99450
5/10/77,7.52,7.645,7.5,7.52,151350
5/11/77,7.52,7.6667,7.52,7.6667,155100
5/12/77,7.6667,7.8333,7.625,7.7917,130050
5/13/77,7.7917,7.9367,7.77,7.895,127650
5/16/77,7.895,8.0417,7.895,7.9583,96150
5/17/77,7.9583,8.0417,7.895,8.0417,105150
5/18/77,8.0417,8.0833,7.9167,7.9167,107400
5/19/77,7.9167,8.0417,7.895,7.9167,238200
5/20/77,7.9167,8,7.8333,7.855,289200
5/23/77,7.855,7.855,7.5833,7.625,186300
5/24/77,7.625,7.645,7.4583,7.5417,244500
5/25/77,7.5417,7.645,7.5,7.5633,195150
5/26/77,7.5833,7.7083,7.5833,7.645,149100
5/27/77,7.605,7.605,7.52,7.5417,109650
5/31/77,7.5417,7.5833,7.5,7.52,87750
6/1/77,7.5417,7.625,7.5417,7.5633,255600
6/2/77,7.5633,7.6667,7.5417,7.605,120750
6/3/77,7.605,7.6867,7.605,7.645,103800
6/6/77,7.645,7.6667,7.4583,7.48,132900
6/7/77,7.48,7.625,7.375,7.625,104250
6/8/77,7.625,7.73,7.5833,7.6667,166950
6/9/77,7.6667,7.75,7.645,7.73,74250
6/10/77,7.73,7.7917,7.6867,7.7083,76050
6/13/77,7.7083,7.7917,7.645,7.7917,105600
6/14/77,7.8333,8.0417,7.8333,8.02,162150
6/15/77,8.02,8.105,7.98,8,169650
6/16/77,8,8.0417,7.9167,8.02,88050
6/17/77,8.02,8.0833,7.98,8.02,73650
6/20/77,8.02,8.2917,8.02,8.2917,138300
6/21/77,8.3133,8.4583,8.3133,8.3333,210000
6/22/77,8.3333,8.3333,8.2083,8.25,115800
6/23/77,8.25,8.3133,8.1867,8.3133,117900
6/24/77,8.3133,8.395,8.2083,8.23,134400
6/27/77,8.23,8.23,8.0417,8.125,69450
6/28/77,8.0833,8.0833,7.9583,7.98,138600
6/29/77,7.98,8.0417,7.9167,8.0417,72900
6/30/77,8.0417,8.125,8.02,8.125,150300
7/1/77,8.125,8.1667,8,8.02,175650
7/5/77,8.02,8.105,8,8.02,136650
7/6/77,8.02,8.0633,7.9367,7.9583,114000
7/7/77,7.9583,7.9583,7.875,7.9167,149850
7/8/77,7.9167,7.9367,7.875,7.9167,99150
7/11/77,7.9167,7.9167,7.875,7.9167,57300
7/12/77,7.9167,8.1667,7.9167,8.1667,275700
7/13/77,8.1667,8.395,8.145,8.395,402300
7/15/77,8.395,8.4367,8.2917,8.375,214200
7/18/77,8.375,8.395,8.1867,8.3133,211050
7/19/77,8.3133,8.4583,8.3133,8.4367,181950
7/20/77,8.5,8.645,8.5,8.625,411750
7/21/77,8.625,8.73,8.5,8.7083,190800
7/22/77,8.73,8.8133,8.73,8.75,191400
