year,net_income,unit,ticker,target
2018,10.46B,B,GS,1
2017,4.286B,B,GS,0
2016,7.398B,B,GS,1
2015,6.083B,B,GS,0
2014,8.477B,B,GS,1
2013,8.04B,B,GS,1
2012,7.475B,B,GS,1
2011,4.442B,B,GS,0
2010,8.354B,B,GS,0
2009,13.38B,B,GS,1
2008,2.322B,B,GS,0
2007,11.60B,B,GS,1
2006,9.537B,B,GS,1
2005,5.626B,B,GS,1
2004,4.553B,B,GS,1
2003,3.005B,B,GS,1
2002,2.114B,B,GS,0
2001,2.31B,B,GS,0
2000,3.067B,B,GS,1
1999,2.708B,B,GS,
2018,28.15B,B,BAC,1
2017,18.23B,B,BAC,1
2016,17.82B,B,BAC,1
2015,15.91B,B,BAC,1
2014,5.52B,B,BAC,0
2013,11.43B,B,BAC,1
2012,4.188B,B,BAC,1
2011,1.446B,B,BAC,1
2010,-2.238B,B,BAC,0
2009,6.276B,B,BAC,1
2008,4.008B,B,BAC,0
2007,14.98B,B,BAC,0
2006,21.13B,B,BAC,1
2005,16.46B,B,BAC,1
2004,13.95B,B,BAC,1
2003,10.81B,B,BAC,1
2002,9.249B,B,BAC,1
2001,6.792B,B,BAC,0
2000,7.517B,B,BAC,0
1999,7.882B,B,BAC,
2018,14.82B,B,CVX,1
2017,9.195B,B,CVX,1
2016,-0.497B,B,CVX,0
2015,4.587B,B,CVX,0
2014,19.24B,B,CVX,0
2013,21.42B,B,CVX,0
2012,26.18B,B,CVX,0
2011,26.90B,B,CVX,1
2010,19.02B,B,CVX,1
2009,10.48B,B,CVX,0
2008,23.93B,B,CVX,1
2007,18.69B,B,CVX,1
2006,17.14B,B,CVX,1
2005,14.10B,B,CVX,1
2004,13.33B,B,CVX,1
2003,7.23B,B,CVX,1
2002,1.132B,B,CVX,0
2001,3.288B,B,CVX,0
2000,7.727B,B,CVX,1
1999,3.247B,B,CVX,
2018,1.656B,B,HAL,1
2017,-463.00M,M,HAL,1
2016,-5.763B,B,HAL,0
2015,-671.00M,M,HAL,0
2014,3.50B,B,HAL,1
2013,2.125B,B,HAL,0
2012,2.635B,B,HAL,0
2011,2.839B,B,HAL,1
2010,1.835B,B,HAL,1
2009,1.145B,B,HAL,0
2008,2.224B,B,HAL,0
2007,3.499B,B,HAL,1
2006,2.348B,B,HAL,0
2005,2.358B,B,HAL,1
2004,-979.00M,M,HAL,0
2003,-820.00M,M,HAL,1
2002,-998.00M,M,HAL,0
2001,809.00M,M,HAL,1
2000,501.00M,M,HAL,1
1999,438.00M,M,HAL,1
1998,-15.00M,M,HAL,0
1997,772.00M,M,HAL,
2018,-4.864B,B,QCOM,0
2017,2.466B,B,QCOM,0
2016,5.705B,B,QCOM,1
2015,5.271B,B,QCOM,0
2014,7.967B,B,QCOM,1
2013,6.853B,B,QCOM,1
2012,6.109B,B,QCOM,1
2011,4.26B,B,QCOM,1
2010,3.247B,B,QCOM,1
2009,1.592B,B,QCOM,0
2008,3.16B,B,QCOM,0
